Generation,Experiment,BoxID,Date_P,Original_environment,Population,Line,Column,Test_environment,Nb_eggs,Date_C_O,Obs_O
G0,Plasticity,959,21/09/2018,Blackberry,Blackberry33,1,3,Raspberry,2,12/6/18,PA
G0,Plasticity,959,21/09/2018,Blackberry,Blackberry33,1,4,Grape,0,12/6/18,PA
G0,Plasticity,959,21/09/2018,Blackberry,Blackberry33,2,1,Tomato,0,12/6/18,PA
G0,Plasticity,959,21/09/2018,Blackberry,Blackberry33,2,2,Cherry,0,12/6/18,PA
G0,Plasticity,959,21/09/2018,Blackberry,Blackberry33,2,3,Cranberry,0,12/6/18,PA
G0,Plasticity,959,21/09/2018,Blackberry,Blackberry33,2,4,Rosehips,2,12/6/18,PA
G0,Plasticity,959,21/09/2018,Blackberry,Blackberry33,3,1,Fig,0,12/6/18,PA
G0,Plasticity,959,21/09/2018,Blackberry,Blackberry33,3,2,Blackberry,0,12/6/18,PA
G0,Plasticity,959,21/09/2018,Blackberry,Blackberry33,3,3,Apricot,2,12/6/18,PA
G0,Plasticity,959,21/09/2018,Blackberry,Blackberry33,3,4,Blackcurrant,0,12/6/18,PA
G0,Plasticity,960,24/09/2018,Blackberry,Blackberry35,1,1,Cherry,0,13/12/2018,CD
G0,Plasticity,960,24/09/2018,Blackberry,Blackberry35,1,2,Tomato,0,13/12/2018,CD
G0,Plasticity,960,24/09/2018,Blackberry,Blackberry35,1,3,Fig,0,13/12/2018,CD
G0,Plasticity,960,24/09/2018,Blackberry,Blackberry35,1,4,Kiwi,0,13/12/2018,CD
G0,Plasticity,960,24/09/2018,Blackberry,Blackberry35,2,1,Blackberry,0,13/12/2018,CD
G0,Plasticity,960,24/09/2018,Blackberry,Blackberry35,2,2,Cranberry,0,13/12/2018,CD
G0,Plasticity,960,24/09/2018,Blackberry,Blackberry35,2,3,Apricot,0,13/12/2018,CD
G0,Plasticity,960,24/09/2018,Blackberry,Blackberry35,2,4,Grape,3,13/12/2018,CD
G0,Plasticity,960,24/09/2018,Blackberry,Blackberry35,3,1,Raspberry,0,13/12/2018,CD
G0,Plasticity,960,24/09/2018,Blackberry,Blackberry35,3,2,Strawberry,0,13/12/2018,CD
G0,Plasticity,960,24/09/2018,Blackberry,Blackberry35,3,3,Blackcurrant,0,13/12/2018,CD
G0,Plasticity,960,24/09/2018,Blackberry,Blackberry35,3,4,Rosehips,0,13/12/2018,CD
G0,Plasticity,961,24/09/2018,WT3,WT3,1,1,Blackcurrant,113,12/6/18,PA
G0,Plasticity,961,24/09/2018,WT3,WT3,1,2,Blackberry,51,12/6/18,PA
G0,Plasticity,961,24/09/2018,WT3,WT3,1,3,Apricot,23,12/6/18,PA
G0,Plasticity,961,24/09/2018,WT3,WT3,1,4,Cranberry,17,12/6/18,PA
G0,Plasticity,961,24/09/2018,WT3,WT3,2,1,Grape,23,12/6/18,PA
G0,Plasticity,961,24/09/2018,WT3,WT3,2,2,Tomato,2,12/6/18,PA
G0,Plasticity,961,24/09/2018,WT3,WT3,2,3,Kiwi,0,12/6/18,PA
G0,Plasticity,961,24/09/2018,WT3,WT3,2,4,Rosehips,22,12/6/18,PA
G0,Plasticity,961,24/09/2018,WT3,WT3,3,1,Cherry,87,12/6/18,PA
G0,Plasticity,961,24/09/2018,WT3,WT3,3,2,Strawberry,30,12/6/18,PA
G0,Plasticity,961,24/09/2018,WT3,WT3,3,3,Fig,31,12/6/18,PA
G0,Plasticity,961,24/09/2018,WT3,WT3,3,4,Raspberry,61,12/6/18,PA
G0,Plasticity,962,25/09/2018,Blackberry,Blackberry36,1,1,Kiwi,0,13/12/2018,CD
G0,Plasticity,962,25/09/2018,Blackberry,Blackberry36,1,2,Grape,0,13/12/2018,CD
G0,Plasticity,962,25/09/2018,Blackberry,Blackberry36,1,3,Fig,0,13/12/2018,CD
G0,Plasticity,962,25/09/2018,Blackberry,Blackberry36,1,4,Rosehips,0,13/12/2018,CD
G0,Plasticity,962,25/09/2018,Blackberry,Blackberry36,2,1,Blackcurrant,0,13/12/2018,CD
G0,Plasticity,962,25/09/2018,Blackberry,Blackberry36,2,2,Strawberry,0,13/12/2018,CD
G0,Plasticity,962,25/09/2018,Blackberry,Blackberry36,2,3,Apricot,0,13/12/2018,CD
G0,Plasticity,962,25/09/2018,Blackberry,Blackberry36,2,4,Tomato,2,13/12/2018,CD
G0,Plasticity,962,25/09/2018,Blackberry,Blackberry36,3,1,Cranberry,0,13/12/2018,CD
G0,Plasticity,962,25/09/2018,Blackberry,Blackberry36,3,2,Raspberry,0,13/12/2018,CD
G0,Plasticity,962,25/09/2018,Blackberry,Blackberry36,3,3,Cherry,1,13/12/2018,CD
G0,Plasticity,962,25/09/2018,Blackberry,Blackberry36,3,4,Blackberry,22,13/12/2018,CD
G0,Plasticity,963,25/09/2018,Blackberry,Blackberry36,1,1,Strawberry,5,29/11/2018,LO
G0,Plasticity,963,25/09/2018,Blackberry,Blackberry36,1,2,Cranberry,4,29/11/2018,LO
G0,Plasticity,963,25/09/2018,Blackberry,Blackberry36,1,3,Raspberry,0,29/11/2018,LO
G0,Plasticity,963,25/09/2018,Blackberry,Blackberry36,1,4,Fig,2,29/11/2018,LO
